cu_number,cycle_date,join_number,rssd,cu_type,cu_name,city,state,cdfi
61844,12/31/17 00:00,16153,29980,2,DFCU FINANCIAL,DEARBORN,MI,
14409,12/31/17 00:00,7405,136888,1,DIABLO VALLEY,CONCORD,CA,
64247,12/31/17 00:00,18475,393195,2,DIAL,Montgomery,IL,
68241,12/31/17 00:00,2397,748571,2,DIAMOND,Pottstown,PA,
14135,12/31/17 00:00,7237,398686,1,DIAMOND VALLEY,EVANSVILLE,IN,
23521,12/31/17 00:00,13650,483386,1,DIGITAL,MARLBOROUGH,MA,
20575,12/31/17 00:00,11004,582382,1,DILL,ROXBORO,NC,
21268,12/31/17 00:00,11510,231484,1,DILLARD'S,LITTLE ROCK,AR,
67730,12/31/17 00:00,22403,98696,2,DILLON,Hutchinson,KS,
552,12/31/17 00:00,284,672779,1,DILLONVALE,Dillonvale,OH,
9071,12/31/17 00:00,4275,151582,1,DIRECT,Needham,MA,
60978,12/31/17 00:00,15360,142898,2,DIRECTIONS,Toledo,OH,
68420,12/31/17 00:00,26344,2872854,2,DIRECTORS CHOICE,ALBANY,NY,
11144,12/31/17 00:00,5461,643582,1,DIRIGO,LEWISTON,ME,
12935,12/31/17 00:00,6506,37985,1,DISCOVERY,WYOMISSING,PA,
1080,12/31/17 00:00,537,631477,1,DISTRICT #6,HORNELL,NY,
14249,12/31/17 00:00,7306,110187,1,DISTRICT 05 DOTD,MONROE,LA,
14651,12/31/17 00:00,7551,723587,1,DISTRICT 08,ALEXANDRIA,LA,
17023,12/31/17 00:00,8931,995188,1,DISTRICT 123,Oak Lawn,IL,
15211,12/31/17 00:00,7874,28581,1,DISTRICT 58,CHASE,LA,
14375,12/31/17 00:00,7382,129282,1,DISTRICT 62 HIGHWAY,HAMMOND,LA,
64357,12/31/17 00:00,18585,407597,2,DISTRICT 8 HIGHWAY EMPLOYEES,Springfield,MO,
1821,12/31/17 00:00,874,273671,1,DISTRICT OF COLUMBIA TEACHERS,Washington,DC,
63420,12/31/17 00:00,17658,160799,2,DISTRICT ONE HIGHWAY,Saint Joseph,MO,
61726,12/31/17 00:00,16043,98593,2,DIVERSIFIED,MINNEAPOLIS,MN,
17411,12/31/17 00:00,9161,194084,1,DIVERSIFIED GENERAL,LOGANSPORT,IN,
62339,12/31/17 00:00,16609,841397,2,DIVERSIFIED MEMBERS,DETROIT,MI,
64755,12/31/17 00:00,18983,745299,2,DIVISION #6 HIGHWAY,Chesterfield,MO,
60167,12/31/17 00:00,14639,376992,2,DIVISION 10 HIGHWAY EMPLOYEES,Sikeston,MO,
20336,12/31/17 00:00,10838,66088,1,DIVISION 726,STATEN ISLAND,NY,
62855,12/31/17 00:00,17108,879596,2,DIVISION 819 TRANSIT EMPLOYEES,IRVINGTON,NJ,
62798,12/31/17 00:00,17055,679992,2,DIXIE CRAFT EMPLOYEES,GOODWATER,AL,
67937,12/31/17 00:00,23888,514897,2,DIXIE LINE,NASHVILLE,TN,
5569,12/31/17 00:00,2420,794279,1,DIXIES,DARLINGTON,SC,
24720,12/31/17 00:00,15382,144294,1,DN COMMUNITY,NORTH CANTON,OH,
62446,12/31/17 00:00,16712,642996,2,DOCHES,NACOGDOCHES,TX,
68618,12/31/17 00:00,6540,897581,2,DOCO,ALBANY,GA,
23376,12/31/17 00:00,13505,624488,1,DOE RUN,BRANDENBURG,KY,
66973,12/31/17 00:00,21194,244998,2,DOMINION CREDIT UNION,RICHMOND,VA,
21383,12/31/17 00:00,11606,422488,1,DOMINO,Texarkana,TX,
9585,12/31/17 00:00,4587,82480,1,DOR WIC,Salisbury,MD,
7569,12/31/17 00:00,3486,218887,1,DORT,GRAND BLANC,MI,
12443,12/31/17 00:00,6215,336884,1,DOVER,Dover,DE,
8822,12/31/17 00:00,4144,269580,1,DOVER-PHILA,DOVER,OH,
6150,12/31/17 00:00,2731,955687,1,DOW BUCKS COUNTY,Bristol,PA,
60137,12/31/17 00:00,14611,496096,2,DOW CHEMICAL EMPLOYEES',Midland,MI,
64503,12/31/17 00:00,18731,992598,2,DOW GREAT WESTERN,ANTIOCH,CA,
24062,12/31/17 00:00,14190,1007190,1,DOW JONES EMPLOYEES,MONMOUTH JUNCTI,NJ,
21070,12/31/17 00:00,11355,621580,1,DOWAGIAC AREA,DOWAGIAC,MI,
14858,12/31/17 00:00,7680,987482,1,DOWELL,TULSA,OK,
68563,12/31/17 00:00,1894,474478,2,DOWN EAST,Baileyville,ME,
11870,12/31/17 00:00,5879,952985,1,DOWNEY,DOWNEY,CA,
4853,12/31/17 00:00,2102,146579,1,DOWNRIVER COMMUNITY,ECORSE,MI,
20661,12/31/17 00:00,11070,732084,1,DOY,Youngstown,OH,
62429,12/31/17 00:00,16695,640899,2,DU PONT EMPLOYEES,Fort Madison,IA,
64471,12/31/17 00:00,18699,362098,2,DU TRAC COMMUNITY,DUBUQUE,IA,
20805,12/31/17 00:00,11163,947682,1,DUBOIS-PIKE,JASPER,IN,
64917,12/31/17 00:00,19145,30696,2,DUBUQUE POSTAL EMPLOYEES,DUBUQUE,IA,
15146,12/31/17 00:00,7834,260587,1,DUGOOD,BEAUMONT,TX,
12841,12/31/17 00:00,6449,582186,1,DUGWAY,Dugway,UT,
18616,12/31/17 00:00,9811,959283,1,DUKE UNIVERSITY,DURHAM,NC,
60750,12/31/17 00:00,15159,439990,2,DULUTH FIRE DEPARTMENT,DULUTH,MN,
64359,12/31/17 00:00,18587,108698,2,DULUTH POLICE DEPARTMENT EMPLOYEES,DULUTH,MN,
7118,12/31/17 00:00,3239,534484,1,DUNLOP EMPLOYEES,BUFFALO,NY,
97084,12/31/17 00:00,15785,79396,3,DUPAGE,Naperville,IL,
61290,12/31/17 00:00,15644,319092,2,DUPAGE COUNTY EMPLOYEES,WHEATON,IL,
60457,12/31/17 00:00,14898,574097,2,DUTCH POINT,Wethersfield,CT,
6747,12/31/17 00:00,3047,939481,1,DYNAMIC,CELINA,OH,
67555,12/31/17 00:00,22709,554893,2,E E SOUTH TEXAS,Corpus Christi,TX,
22083,12/31/17 00:00,12237,771980,1,E L C O,ELBERTON,GA,
9457,12/31/17 00:00,4508,72687,1,E M O T,Abilene,TX,
4871,12/31/17 00:00,2109,25870,1,E R R L,Wyndmoor,PA,
62323,12/31/17 00:00,16593,840493,2,E-CENTRAL,PASADENA,CA,
86754,12/31/17 00:00,21923,992196,3,E. W. NO. 401,RENO,NV,
82514,12/31/17 00:00,21572,381099,3,E.S.A.,BOISE,ID,
3869,12/31/17 00:00,1741,393476,1,EAGLE,Atchison,KS,
17126,12/31/17 00:00,8985,135582,1,EAGLE CAN EMPLOYEES,Wellsburg,WV,
66847,12/31/17 00:00,21069,610294,2,EAGLE COMMUNITY,LAKE FOREST,CA,
48,12/31/17 00:00,31,955472,1,EAGLE EXPRESS,JACKSON,MS,
24661,12/31/17 00:00,15666,967895,1,EAGLE LOUISIANA,BATON ROUGE,LA,
97059,12/31/17 00:00,15711,941194,3,EARTHMOVER,Aurora,IL,
12383,12/31/17 00:00,6180,364289,1,EAST ALABAMA COMMUNITY,OPELIKA,AL,
16805,12/31/17 00:00,8813,306186,1,EAST ALLEN,NEW HAVEN,IN,
7253,12/31/17 00:00,3316,421883,1,EAST BATON ROUGE TEACHERS,Baton Rouge,LA,
65470,12/31/17 00:00,19698,882194,2,EAST CENTRAL MISSISSIPPI,NEWTON,MS,
82772,12/31/17 00:00,21624,1227596,3,EAST CHICAGO FIREMEN'S,East Chicago,IN,
11099,12/31/17 00:00,5436,639688,1,EAST COUNTY SCHOOLS,EL CAJON,CA,
23896,12/31/17 00:00,14024,661492,1,EAST END BAPTIST TABERNACLE,BRIDGEPORT,CT,
68376,12/31/17 00:00,269,929071,2,EAST IDAHO,Idaho Falls,ID,
434,12/31/17 00:00,234,664671,1,EAST OHIO GAS CLEV OPER EMP,CLEVELAND,OH,
345,12/31/17 00:00,185,104476,1,EAST OHIO GAS YN DIV EMP,Youngstown,OH,
11014,12/31/17 00:00,5387,626884,1,EAST ORANGE FIREMENS,EAST ORANGE,NJ,
11604,12/31/17 00:00,5730,665285,1,EAST ORANGE VA HOSPITAL,East Orange,NJ,
67761,12/31/17 00:00,22996,693895,2,EAST TEXAS PROFESSIONAL,LONGVIEW,TX,
7066,12/31/17 00:00,3211,264585,1,EASTERN INDIANA,New Castle,IN,
19280,12/31/17 00:00,10156,337984,1,EASTERN KENTUCKY,PRESTONSBURG,KY,
19890,12/31/17 00:00,10542,451880,1,EASTERN PANHANDLE,MARTINSBURG,WV,
24709,12/31/17 00:00,21342,271798,1,EASTERN UTAH COMMUNITY,Price,UT,
97098,12/31/17 00:00,5050,882381,3,EASTEX,Evadale,TX,
68095,12/31/17 00:00,24028,263391,2,EASTMAN,KINGSPORT,TN,
9518,12/31/17 00:00,4546,20286,1,EASTMILL,EAST MILLINOCKE,ME,
60124,12/31/17 00:00,14598,433390,2,EASTPOINTE COMMUNITY,EASTPOINTE,MI,
1660,12/31/17 00:00,813,425470,1,EATON EMPLOYEES,Denver,CO,
62950,12/31/17 00:00,17199,261098,2,EATON EMPLOYEES,EDEN PRAIRIE,MN,
68354,12/31/17 00:00,1062,110075,2,EATON FAMILY,Euclid,OH,
8919,12/31/17 00:00,4196,395788,1,EBSCO,BIRMINGHAM,AL,
60077,12/31/17 00:00,14555,366797,2,ECCO,Pace,FL,
24883,12/31/17 00:00,17932,766593,1,ECM,RIDGELAND,MS,
65464,12/31/17 00:00,19692,758093,2,ECO,BIRMINGHAM,AL,
67336,12/31/17 00:00,22591,371698,2,ECU,SEMINOLE,FL,
63663,12/31/17 00:00,17895,943198,2,ECUSTA,PISGAH FOREST,NC,
13186,12/31/17 00:00,6654,799489,1,ED-MED,OGDENSBURG,NY,
9566,12/31/17 00:00,4576,948380,1,EDDY,CARLSBAD,NM,
61878,12/31/17 00:00,16183,875794,2,EDDY PAPER EMPLOYEES,WHITE PIGEON,MI,
66274,12/31/17 00:00,20497,959993,2,EDDYVILLE COOPERATIVE,Eddyville,NE,
11457,12/31/17 00:00,5647,797784,1,EDGE,LIVERPOOL,NY,
66366,12/31/17 00:00,20588,555395,2,EDINBURG TEACHERS,Edinburg,TX,
62269,12/31/17 00:00,16546,837493,2,EDISON,SPRINGFIELD,OH,
67929,12/31/17 00:00,21840,180797,2,EDISON,KANSAS CITY,MO,
1397,12/31/17 00:00,689,497178,1,EDISTO,ORANGEBURG,SC,
67494,12/31/17 00:00,22960,647094,2,EDUCATION,Amarillo,TX,
67127,12/31/17 00:00,21348,524999,2,EDUCATION 1ST,Ogden,UT,
24470,12/31/17 00:00,22708,530299,1,EDUCATION FIRST,Beaumont,TX,
68447,12/31/17 00:00,539,773078,2,"EDUCATION FIRST CREDIT UNION, INC.",WESTERVILLE,OH,
1969,12/31/17 00:00,938,14472,1,EDUCATION PERSONNEL,DANVILLE,IL,
62008,12/31/17 00:00,16306,883892,2,EDUCATION PLUS,MONROE,MI,
2346,12/31/17 00:00,1097,118473,1,EDUCATIONAL AND GOVERNMENTAL,Hartsdale,NY,
62589,12/31/17 00:00,16848,721499,2,EDUCATIONAL COMMUNITY,SPRINGFIELD,MO,
68181,12/31/17 00:00,24587,578095,2,EDUCATIONAL COMMUNITY ALLIANCE,TOLEDO,OH,
60520,12/31/17 00:00,14954,504898,2,EDUCATIONAL EMPLOYEES,Fresno,CA,
10696,12/31/17 00:00,5218,832489,1,EDUCATIONAL SYSTEMS,GREENBELT,MD,
66448,12/31/17 00:00,20670,915298,2,EDUCATORS,RACINE,WI,
67611,12/31/17 00:00,22892,906296,2,EDUCATORS,WACO,TX,
14830,12/31/17 00:00,7660,656984,1,EDWARDS,EDWARDS,CA,
67928,12/31/17 00:00,22685,820598,2,EECU,Fort Worth,TX,
13,12/31/17 00:00,12,861676,1,EFCU FINANCIAL,BATON ROUGE,LA,
81553,12/31/17 00:00,21535,268798,3,EFFINGHAM HIGHWAY,Effingham,IL,
9788,12/31/17 00:00,4696,91482,1,EGLIN,Fort Walton Bea,FL,
20222,12/31/17 00:00,10764,349884,1,EIGHT,Rossford,OH,
95072,12/31/17 00:00,23095,248996,3,EL MONTE COMMUNITY CREDIT UNION,EL MONTE,CA,
1409,12/31/17 00:00,695,503172,1,EL PASO AREA TEACHERS,EL PASO,TX,
62479,12/31/17 00:00,16745,607995,2,EL RENO R.I.L.,El Reno,OK,
24866,12/31/17 00:00,26452,4878878,1,ELCA,Chicago,IL,
15860,12/31/17 00:00,8258,365080,1,ELECTCHESTER,FLUSHING,NY,
24819,12/31/17 00:00,20811,945192,1,ELECTEL COOPERATIVE,RALEIGH,NC,
23361,12/31/17 00:00,13490,998385,1,ELECTRIC COOPERATIVES,LITTLE ROCK,AR,
63988,12/31/17 00:00,18216,64794,2,ELECTRIC MACHINERY EMPLOYEES,MINNEAPOLIS,MN,
68148,12/31/17 00:00,23897,693596,2,ELECTRIC SERVICE,NASHVILLE,TN,
8701,12/31/17 00:00,4095,383486,1,ELECTRICAL,ARVADA,CO,
10393,12/31/17 00:00,5058,175784,1,ELECTRICAL WORKERS LOCAL 130,METAIRIE,LA,
64267,12/31/17 00:00,18495,334693,2,ELECTRICAL WORKERS LOCAL 58,DETROIT,MI,
10763,12/31/17 00:00,5260,865683,1,ELECTRICAL WORKERS NO 22,OMAHA,NE,
12478,12/31/17 00:00,6240,122881,1,ELECTRICAL WORKERS NO 558,SHEFFIELD,AL,
67338,12/31/17 00:00,22499,363590,2,ELECTRICIANS' LOCAL 349,MIAMI,FL,
62590,12/31/17 00:00,16849,784195,2,ELECTRO SAVINGS,Saint Louis,MO,
65794,12/31/17 00:00,20017,599399,2,ELECTROGAS,Alton,IL,
24656,12/31/17 00:00,18675,542395,1,ELECTRUS,Brooklyn Center,MN,
4127,12/31/17 00:00,1842,337573,1,ELEKTRA,NEW YORK,NY,
23162,12/31/17 00:00,13291,783880,1,ELEMENT,CHARLESTON,WV,
22468,12/31/17 00:00,12603,926388,1,ELEMENTS FINANCIAL,Indianapolis,IN,
68565,12/31/17 00:00,3860,496087,2,ELEVATIONS,BOULDER,CO,
24890,12/31/17 00:00,18245,149990,1,ELEVATOR,OLIVE BRANCH,MS,
62007,12/31/17 00:00,16305,791492,2,ELGIN MENTAL HEALTH CENTER,ELGIN,IL,
60304,12/31/17 00:00,14761,116198,2,ELITE COMMUNITY,Bourbonnais,IL,
916,12/31/17 00:00,460,698377,1,ELIZABETH (N.J.) FIREMEN'S,ELIZABETH,NJ,
3356,12/31/17 00:00,1521,644972,1,ELIZABETH POLICE DEPARTMENT E,ELIZABETH,NJ,
13800,12/31/17 00:00,7031,556486,1,ELKO,Elko,NV,
390,12/31/17 00:00,215,727370,1,ELLIOTT COMMUNITY,JEANNETTE,PA,
67797,12/31/17 00:00,22394,40396,2,ELLIS,Ellis,KS,
12266,12/31/17 00:00,6110,538585,1,ELLIS COUNTY TEACHERS AND EMPLOYEES,WAXAHACHIE,TX,
24900,12/31/17 00:00,16094,691293,1,ELLISVILLE STATE SCHOOL EMPLOYEES,Ellisville,MS,
64444,12/31/17 00:00,18672,480198,2,ELM RIVER,Kindred,ND,
63398,12/31/17 00:00,17636,631897,2,ELY AREA,ELY,MN,
7715,12/31/17 00:00,3575,127680,1,EM,MESA,AZ,
1104,12/31/17 00:00,551,826675,1,EMBARK,Great Falls,MT,
4708,12/31/17 00:00,2054,132170,1,EMBARRASS VERMILLION,AURORA,MN,
64521,12/31/17 00:00,18749,1010097,2,EME,EASTON,PA,
3388,12/31/17 00:00,1538,653572,1,EMERALD COAST,PORT ST JOE,FL,
19047,12/31/17 00:00,10019,260886,1,EMERALD CREDIT ASSOCIATION,Greenwood,SC,
97077,12/31/17 00:00,16242,171898,3,"EMERALD CREDIT UNION, INC.",GARFIELD HTS,OH,
66354,12/31/17 00:00,20576,155898,2,EMERGENCY RESPONDERS,WINSTON SALEM,NC,
3360,12/31/17 00:00,1523,643377,1,EMERY,CINCINNATI,OH,
68573,12/31/17 00:00,9873,208084,2,EMORY ALLIANCE,DECATUR,GA,
63906,12/31/17 00:00,18134,792994,2,EMPIRE BR 36 NATL ASSOC OF LE CARR,NEW YORK,NY,
613,12/31/17 00:00,311,939276,1,EMPIRE ONE,West Seneca,NY,
1343,12/31/17 00:00,665,362070,1,EMPIRT 207,NEW YORK,NY,
67789,12/31/17 00:00,23982,461991,2,EMPLOYEE RESOURCES,LAWRENCEBURG,TN,
9715,12/31/17 00:00,4658,910480,1,EMPLOYEES,Tulsa,OK,
63299,12/31/17 00:00,17538,131799,2,EMPLOYEES,ESTHERVILLE,IA,
68325,12/31/17 00:00,5070,884086,2,EMPLOYEES,DALLAS,TX,
13526,12/31/17 00:00,6843,849384,1,EMPLOYEES CHOICE,EL CAJON,CA,
67064,12/31/17 00:00,21285,265797,2,EMPLOYEES FIRST,LOGAN,UT,
21904,12/31/17 00:00,12067,1007686,1,EMPLOYEES UNITED,Paris,TX,
62598,12/31/17 00:00,16857,723596,2,EMPLOYMENT SECURITY,Jefferson City,MO,
2227,12/31/17 00:00,1053,298777,1,EMPORIA STATE,EMPORIA,KS,
68317,12/31/17 00:00,26305,269076,2,EMPOWER,WEST ALLIS,WI,
24769,12/31/17 00:00,26408,3461312,1,EMPOWERMENT COMMUNITY DEVELOPMENT,Houston,TX,
20015,12/31/17 00:00,10620,247980,1,ENCENTUS,Tulsa,OK,
8976,12/31/17 00:00,4226,104289,1,ENCHANTED MOUNTAINS,ALLEGANY,NY,
8548,12/31/17 00:00,4015,254689,1,ENCOMPASS,TIPTON,IN,
24873,12/31/17 00:00,17987,813899,1,ENCOMPASS NIAGARA,Niagara Falls,NY,
60994,12/31/17 00:00,15374,270492,2,ENERGIZE,OKLAHOMA CITY,OK,
66369,12/31/17 00:00,20591,21694,2,ENERGY,WEST ROXBURY,MA,
61936,12/31/17 00:00,16238,817794,2,ENERGY CAPITAL,Houston,TX,
256,12/31/17 00:00,136,28170,1,ENERGY ONE,Tulsa,OK,
13729,12/31/17 00:00,6978,168487,1,ENERGY PEOPLE,MEDFORD,NJ,
65458,12/31/17 00:00,19686,105697,2,ENERGY PLUS,Indianapolis,IN,
24664,12/31/17 00:00,18843,633190,1,ENERGY SERVICES,SAINT CLOUD,MN,
1729,12/31/17 00:00,841,132572,1,ENFIELD COMMUNITY,Enfield,CT,
24440,12/31/17 00:00,17905,762399,1,ENGINEERS,LITTLE ROCK,AR,
20662,12/31/17 00:00,11071,968584,1,ENLIGHTEN,JACKSON,TN,
6778,12/31/17 00:00,3065,688387,1,ENRICHMENT,OAK RIDGE,TN,
68671,12/31/17 00:00,5712,660589,2,ENT,COLORADO SPRING,CO,
66880,12/31/17 00:00,21101,22495,2,ENTERPRISE,BROOKFIELD,WI,
68407,12/31/17 00:00,2730,701987,2,ENTERPRISE,Enterprise,KS,
68612,12/31/17 00:00,10783,474487,2,ENTRUST FINANCIAL,Richmond,VA,
65282,12/31/17 00:00,19510,425498,2,ENVISTA,Topeka,KS,
262,12/31/17 00:00,139,555171,1,EP,WASHINGTON,DC,
60619,12/31/17 00:00,15044,423494,2,EPB EMPLOYEES,CHATTANOOGA,TN,
15129,12/31/17 00:00,7825,252489,1,EPIPHANY,Brooklyn,NY,
5028,12/31/17 00:00,2165,696579,1,EQT,Pittsburgh,PA,
1649,12/31/17 00:00,808,486079,1,EQUITABLE,AKRON,OH,
1476,12/31/17 00:00,723,299671,1,ERIE,Erie,PA,
8913,12/31/17 00:00,4191,334086,1,ERIE CITY EMPLOYEES,Erie,PA,
12616,12/31/17 00:00,6312,206482,1,ERIE COMMUNITY,SANDUSKY,OH,
63648,12/31/17 00:00,17880,755896,2,ERIE COMMUNITY,Erie,PA,
62923,12/31/17 00:00,17172,236292,2,ERIE COUNTY EMPLOYEES,BUFFALO,NY,
8625,12/31/17 00:00,4051,134884,1,ERIE FIREFIGHTERS,Erie,PA,
4158,12/31/17 00:00,1856,464273,1,ERIE LACKAWANNA RAILROAD CO EMP,HOBOKEN,NJ,
22440,12/31/17 00:00,12576,595887,1,ERIE METRO,BLASDELL,NY,
8626,12/31/17 00:00,4052,322186,1,ERIE POLICE,Erie,PA,
3113,12/31/17 00:00,1426,510376,1,ERIE T P E,ERIE,PA,
776,12/31/17 00:00,381,135573,1,ERIE TIMES,ERIE,PA,
13402,12/31/17 00:00,6769,827980,1,ESCONDIDO,Escondido,CA,
24563,12/31/17 00:00,26241,243179,1,ESL,Rochester,NY,
9590,12/31/17 00:00,4591,53882,1,ESPEECO,BAKERSFIELD,CA,
10077,12/31/17 00:00,4865,695581,1,ESQUIRE-GOODFELLOWSHIP,Brooklyn,NY,
112,12/31/17 00:00,60,884675,1,ESSEX COUNTY NJ EMPLOYEES,Newark,NJ,
1131,12/31/17 00:00,565,711977,1,ESSEX COUNTY TEACHERS,Bloomfield,NJ,
8299,12/31/17 00:00,3882,430081,1,ESTACADO,HOBBS,NM,
61448,12/31/17 00:00,15787,1005392,2,ETHICON SUTURE,Chicago,IL,
11152,12/31/17 00:00,5466,645287,1,ETMA,LOUISVILLE,TN,
63982,12/31/17 00:00,18210,59295,2,ETS,ELDORA,IA,
63837,12/31/17 00:00,18065,967792,2,EVANGELICAL CHRISTIAN,Brea,CA,
62338,12/31/17 00:00,16608,872092,2,EVANSTON FIREMENS,EVANSTON,IL,
14562,12/31/17 00:00,7498,19280,1,EVANSVILLE,Evansville,IN,
1263,12/31/17 00:00,627,168777,1,EVANSVILLE FIREFIGHTERS,EVANSVILLE,IN,
1682,12/31/17 00:00,820,428079,1,EVANSVILLE TEACHERS,Evansville,IN,
18649,12/31/17 00:00,9830,974987,1,EVER $ GREEN,ROCHESTER,NY,
10223,12/31/17 00:00,4946,168188,1,EVERENCE,LANCASTER,PA,
67559,12/31/17 00:00,24223,207199,2,EVERETT,EVERETT,MA,
24204,12/31/17 00:00,14331,308199,1,EVERGLADES,CLEWISTON,FL,
66395,12/31/17 00:00,20617,701295,2,EVERGREEN,NEENAH,WI,
68038,12/31/17 00:00,3355,365987,2,EVERGREEN,Portland,ME,
24547,12/31/17 00:00,14601,290191,1,EVERGREEN PARK SCHOOLS,EVERGREEN PARK,IL,
68546,12/31/17 00:00,13055,653488,2,EVERGREENDIRECT,TUMWATER,WA,
67456,12/31/17 00:00,22834,808596,2,EVERMAN PARKWAY,FORT WORTH,TX,
1792,12/31/17 00:00,863,265573,1,EVOLVE,EL PASO,TX,
23893,12/31/17 00:00,14021,804691,1,EVONIK EMPLOYEES,Theodore,AL,
1987,12/31/17 00:00,946,200770,1,EWA,EWA BEACH,HI,
9777,12/31/17 00:00,4690,1016884,1,EWEB EMPLOYEES,Eugene,OR,
7825,12/31/17 00:00,3637,96580,1,EXCEL,Norcross,GA,
15973,12/31/17 00:00,8321,78483,1,EXPRESS-NEWS,San Antonio,TX,
60428,12/31/17 00:00,14873,479697,2,EXTRA,WARREN,MI,
1493,12/31/17 00:00,732,304070,1,F & A,MONTEREY PARK,CA,
9639,12/31/17 00:00,4619,982188,1,F A A,MEMPHIS,TN,
9527,12/31/17 00:00,4553,977782,1,F A B CHURCH,SAVANNAH,GA,
4363,12/31/17 00:00,1932,65577,1,F C I,Littleton,CO,
320,12/31/17 00:00,174,577678,1,F R B,Washington,DC,
22510,12/31/17 00:00,12644,436485,1,F. C.,Cherry Hill,NJ,
4366,12/31/17 00:00,1934,186276,1,F.C.I. ASHLAND,ASHLAND,KY,
17696,12/31/17 00:00,9329,179483,1,F.C.S.,Floydada,TX,
9102,12/31/17 00:00,4297,153287,1,F.F.E.,Fargo,ND,
68018,12/31/17 00:00,22630,1227185,2,F.R.S.A.,WINTER PARK,FL,
24658,12/31/17 00:00,21168,397698,1,FAIRFAX COUNTY,Fairfax,VA,
12305,12/31/17 00:00,6138,315982,1,FAIRFIELD,PINE BLUFF,AR,
16584,12/31/17 00:00,8691,953384,1,FAIRLEIGH DICKINSON UNIVERSTY,Madison,NJ,
3439,12/31/17 00:00,1565,665874,1,FAIRMONT,FAIRMONT,WV,
24612,12/31/17 00:00,19226,268190,1,FAIRMONT SCHOOL EMPLOYEES,Fairmont,MN,
64460,12/31/17 00:00,18688,605094,2,FAIRMONT VILLAGE,Fairmont City,IL,
20956,12/31/17 00:00,11272,692384,1,FAIRPORT,FAIRPORT,NY,
12859,12/31/17 00:00,6460,460985,1,FAITH COOPERATIVE,Dallas,TX,
10845,12/31/17 00:00,5306,213789,1,FAITH TABERNACLE BAPTIST,Stamford,CT,
67894,12/31/17 00:00,24226,43098,2,FALL RIVER MUNICIPAL,FALL RIVER,MA,
9780,12/31/17 00:00,4693,60385,1,FALLON COUNTY,Baker,MT,
96707,12/31/17 00:00,25261,739597,3,FALLS CATHOLIC,Cuyahoga Falls,OH,
9109,12/31/17 00:00,4301,310585,1,FAMILIES AND SCHOOLS TOGETHER,HANFORD,CA,
14916,12/31/17 00:00,7707,856588,1,FAMILIES FIRST,CASPER,WY,
7383,12/31/17 00:00,3391,615486,1,FAMILY 1ST,New Castle,PA,
678,12/31/17 00:00,348,129572,1,FAMILY 1ST OF TEXAS,Fort Worth,TX,
24603,12/31/17 00:00,26312,2619723,1,FAMILY ADVANTAGE,SPRING HILL,TN,
64067,12/31/17 00:00,18295,491998,2,FAMILY COMMUNITY,Charles City,IA,
61633,12/31/17 00:00,15955,988395,2,FAMILY FINANCIAL,NORTON SHORES,MI,
61831,12/31/17 00:00,16140,717296,2,FAMILY FIRST,HAPEVILLE,GA,
61909,12/31/17 00:00,16212,785491,2,FAMILY FIRST,SAGINAW,MI,
19304,12/31/17 00:00,10172,176482,1,FAMILY FIRST OF NY,ROCHESTER,NY,
24771,12/31/17 00:00,18922,798893,1,FAMILY FOCUS,OMAHA,NE,
64942,12/31/17 00:00,19170,117999,2,FAMILY HORIZONS,Indianapolis,IN,
68628,12/31/17 00:00,3444,377186,2,FAMILY SAVINGS,Rainbow City,AL,
60605,12/31/17 00:00,15030,462699,2,FAMILY SECURITY,Decatur,AL,
11554,12/31/17 00:00,5706,930488,1,FAMILY TRUST,ROCK HILL,SC,
17254,12/31/17 00:00,9067,549189,1,FANNIN,BONHAM,TX,
19741,12/31/17 00:00,10448,104083,1,FANNIN COUNTY TEACHERS,BONHAM,TX,
4246,12/31/17 00:00,1887,287678,1,FAR ROCKAWAY POSTAL,FAR ROCKAWAY,NY,
47,12/31/17 00:00,30,957579,1,FARGO PUBLIC SCHOOLS,FARGO,ND,
288,12/31/17 00:00,155,31572,1,FARGO VA,FARGO,ND,
62330,12/31/17 00:00,16600,840895,2,FARM BUREAU FAMILY,LANSING,MI,
22132,12/31/17 00:00,12281,976280,1,FARM CREDIT EMPLOYEES,SAINT PAUL,MN,
26,12/31/17 00:00,19,866372,1,FARMERS,JACKSONVILLE,FL,
62580,12/31/17 00:00,16839,568096,2,FARMERS,HAYS,KS,
20303,12/31/17 00:00,10814,57488,1,FARMERS BRANCH CITY EMPLOYEES,FARMERS BRANCH,TX,
1074,12/31/17 00:00,534,772576,1,FARMERS INSURANCE GROUP,Los Angeles,CA,
63374,12/31/17 00:00,17612,446091,2,FARMWAY,Beloit,KS,
24690,12/31/17 00:00,26380,3208496,1,FASNY,Albany,NY,
13115,12/31/17 00:00,6608,938484,1,FASSON EMPLOYEES,Painesville,OH,
12310,12/31/17 00:00,6142,419983,1,FAYETTE,MOUNT HOPE,WV,
61515,12/31/17 00:00,15849,982094,2,FAYETTE COUNTY SCHOOL EMPLOYEES,Uniontown,PA,
10690,12/31/17 00:00,5215,186481,1,FAYETTE FEDERAL EMPLOYEES,UNIONTOWN,PA,
63612,12/31/17 00:00,17845,870294,2,FAYETTEVILLE POSTAL,FAYETTEVILLE,NC,
4195,12/31/17 00:00,1869,283474,1,FCI,Texarkana,TX,
